Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,6-4,59-26,36-28,10-6,14-8,109-57,60-34,16-10,0-4,6-4,31-24,16-10,60-34,25-16,26-14,28-16,13-10,0-2,,,,,515-307
Player2,0-4,12-12,30-18,18-12,55-36,12-8,14-8,0-2,0-2,10-6,79-46,68-36,24-12,28-12,6-8,73-44,4-6,57-36,,,,,490-308
Player3,4-4,20-12,27-20,33-22,30-18,53-34,24-14,100-50,0-2,0-2,29-20,8-10,69-36,24-16,41-24,43-28,20-12,0-2,,,,,525-326
Player4,3-4,31-22,21-16,25-18,11-8,2-6,10-10,8-10,10-6,56-34,41-23,0-2,54-28,4-4,0-2,0-0,15-12,4-6,,,,,295-211
Player5,12-10,35-29,21-18,22-12,34-22,31-13,28-24,50-36,35-30,22-24,14-7,17-14,19-9,51-33,6-4,0-0,31-26,0-2,,,,,428-313
Player6,42-30,34-19,5-6,13-15,4-12,0-0,3-8,4-4,7-10,0-2,0-0,15-14,0-1,30-25,14-18,0-0,49-46,0-2,,,,,220-212
Player7,50-36,0-0,21-14,3-6,6-6,0-0,13-9,4-6,0-6,9-8,0-0,22-15,0-0,11-7,18-14,0-0,8-8,49-34,,,,,214-169
Player8,6-4,0-0,0-0,0-2,0-1,0-0,16-10,6-1,6-4,6-6,0-0,13-10,0-0,0-2,0-2,0-0,0-0,4-4,,,,,57-46
Player9,26-14,0-0,0-0,0-4,0-1,0-0,0-1,1-1,2-4,6-6,0-0,2-4,0-0,0-1,0-2,0-0,0-0,0-4,,,,,37-42
Player10,0-0,0-0,0-0,2-4,2-6,0-0,9-2,0-0,18-18,0-2,0-0,0-0,0-0,0-1,7-6,0-0,0-0,0-2,,,,,38-41
Player11,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,5-10,0-2,0-0,0-0,0-0,0-1,16-11,0-0,0-0,6-6,,,,,29-32
