Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,14-14,22-16,66-46,0-2,46-22,4-4,0-2,12-6,6-6,70-38,46-26,8-8,96-50,33-18,96-54,6-4,12-8,24-12,,,,,561-336
Player2,50-32,12-10,71-42,0-2,6-4,12-10,4-4,22-14,0-2,32-20,34-20,0-2,76-44,8-6,16-10,34-20,4-4,58-42,,,,,439-288
Player3,49-26,85-39,0-0,8-6,24-14,4-4,0-2,4-4,8-8,20-10,57-30,54-36,0-0,23-18,30-24,116-53,71-44,4-4,,,,,557-322
Player4,34-22,3-6,0-0,0-2,0-0,0-2,69-42,6-6,41-36,39-25,17-12,5-6,0-0,4-4,5-8,12-10,4-4,1-6,,,,,240-191
Player5,0-2,11-10,0-0,51-36,0-0,2-4,21-12,8-8,70-43,6-6,21-14,7-6,0-0,10-6,31-18,12-10,72-48,14-14,,,,,336-237
Player6,0-2,1-4,0-0,11-10,0-0,5-8,17-14,22-26,4-8,28-18,0-0,0-2,0-0,10-8,0-0,27-22,11-7,28-26,,,,,164-155
Player7,8-5,12-12,0-0,59-53,0-0,47-36,36-31,18-14,14-12,10-3,0-0,6-4,0-0,6-8,0-0,2-1,15-5,9-4,,,,,242-188
Player8,2-4,10-10,0-0,13-7,0-0,0-2,9-8,7-12,0-2,0-0,0-0,8-10,0-0,8-6,0-0,0-0,0-0,4-3,,,,,61-64
Player9,7-7,13-9,0-0,0-1,0-0,0-2,0-2,0-2,1-2,0-0,0-0,0-2,0-0,4-6,0-0,0-0,0-0,9-9,,,,,34-42
Player10,8-6,8-4,0-0,0-1,0-0,3-6,1-2,0-2,0-1,0-0,0-0,10-8,0-0,0-2,0-0,0-0,0-0,0-0,,,,,30-32
Player11,0-0,0-0,0-0,0-0,0-0,12-12,0-1,7-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,19-17
