batter_runs,batter_balls,wickets,target_left,balls_left,non_striker_runs,non_striker_balls,partnership_runs,partnership_balls,partnership_boundaries,partnership_dots,team_runs,team_balls,batter_group,non_striker_group,intent,risk
170,64,2,17,1,7,7,18,10,3,4,256,119,1,2,3.0,3
165,72,3,19,2,18,17,67,37,9,13,243,118,1,2,3.0,3
159,62,4,25,5,13,7,51,22,9,8,239,115,1,3,3.0,3
154,66,2,19,2,43,23,127,58,18,16,242,118,1,2,3.0,3
148,64,2,23,4,43,23,121,56,17,15,236,116,1,2,3.0,2
145,59,2,17,1,62,38,166,80,26,25,245,119,1,2,3.0,3
141,64,1,27,6,74,37,193,91,25,24,238,114,1,1,3.0,2
141,61,1,34,9,72,34,134,63,16,18,236,111,1,1,3.0,1
140,61,3,17,1,40,25,106,46,16,16,265,119,1,2,3.0,3
17,4,6,151,64,1,4,14,7,2,3,84,56,3,4,3.0,3
7,7,4,110,75,10,12,12,12,1,6,63,45,3,2,3.0,2
7,2,6,59,44,3,2,3,2,0,0,107,76,3,4,3.0,2
2,3,4,185,85,22,14,3,5,0,3,50,35,3,2,3.0,2
0,0,5,169,73,35,21,0,0,0,0,66,47,3,2,3.0,3
87,56,3,24,6,60,38,113,82,18,40,173,114,2,2,3.0,3
81,34,0,78,62,56,24,137,58,20,16,137,58,1,1,3.0,1
83,50,8,90,7,9,16,59,47,6,23,124,113,3,4,3.0,3
71,25,0,96,76,22,19,93,44,11,9,93,44,1,1,3.0,1
70,35,9,38,24,23,14,41,23,7,6,157,96,3,4,3.0,2
62,46,4,18,2,88,48,129,79,16,30,197,118,3,1,3.0,2
60,45,8,23,4,8,5,13,9,1,3,149,116,3,4,3.0,3
56,29,5,23,5,85,42,126,58,17,22,206,115,3,2,3.0,2
54,25,5,20,3,101,52,95,41,15,14,206,117,3,1,3.0,2
52,28,7,34,2,4,5,6,9,0,3,150,118,3,4,3.0,2
33,12,2,61,58,4,2,23,8,3,0,122,62,1,2,3.0,2
31,10,0,146,108,7,2,38,12,6,0,38,12,1,1,3.0,1
17,8,3,68,49,3,4,3,4,0,3,125,71,2,2,3.0,1
9,3,3,124,90,2,6,5,8,0,5,49,30,1,2,3.0,1
9,11,4,53,24,75,39,53,29,8,11,154,96,3,2,3.0,1
7,20,8,21,7,5,11,8,17,0,10,141,113,4,4,3.0,3
3,10,6,103,43,1,3,1,3,0,2,84,77,3,4,3.0,3
3,3,4,37,41,67,27,28,10,4,3,145,79,3,1,3.0,2
162,71,3,31,8,14,12,60,31,9,11,236,112,1,2,2.0,3
152,58,4,35,10,9,6,40,17,7,7,228,110,1,3,2.0,3
150,66,3,44,14,13,11,47,25,7,9,223,106,1,2,2.0,3
145,55,3,45,15,32,22,91,49,12,20,216,105,1,2,2.0,2
142,52,1,61,21,8,10,35,22,4,8,221,99,1,1,2.0,1
142,62,3,32,9,30,21,117,57,15,14,219,111,1,2,2.0,3
141,53,3,49,17,32,22,87,47,12,20,212,103,1,2,2.0,1
2,1,5,65,24,62,23,22,7,3,1,202,96,3,2,2.0,2
81,30,1,88,65,30,16,89,36,12,7,122,55,1,1,2.0,2
81,55,2,52,25,10,4,31,23,5,13,141,95,1,2,2.0,1
81,34,0,115,64,45,22,126,56,17,13,126,56,1,1,2.0,3
81,40,3,103,35,3,6,9,10,1,6,145,85,1,2,2.0,3
80,37,7,8,4,23,19,47,34,8,17,192,116,3,4,2.0,2
79,44,5,21,4,44,36,117,75,16,31,181,116,3,2,2.0,1
71,30,2,102,71,1,4,21,10,4,4,108,49,1,2,2.0,1
71,54,3,18,2,28,15,61,35,9,14,196,118,1,2,2.0,2
71,52,3,78,37,15,11,48,31,5,12,110,83,1,2,2.0,3
64,32,9,48,32,19,9,31,15,5,2,147,88,3,4,2.0,3
64,39,8,56,25,7,7,37,25,5,11,126,95,3,4,2.0,1
59,31,9,39,5,4,4,7,8,0,4,146,115,3,4,2.0,3
54,34,9,12,12,7,10,32,26,4,13,163,108,3,4,2.0,2
53,38,7,24,7,1,2,7,4,1,2,161,113,3,4,2.0,2
51,27,4,27,25,68,44,108,63,13,25,158,95,3,2,2.0,1
42,15,1,105,82,32,15,65,26,10,7,78,38,1,1,2.0,1
7,5,5,118,81,12,5,7,5,1,3,73,39,3,2,2.0,3
7,4,2,148,102,4,1,4,1,1,0,21,18,1,2,2.0,2
149,65,2,20,14,22,16,116,64,16,24,217,106,1,2,1.0,2
148,67,1,8,14,35,16,91,38,14,13,216,106,1,1,1.0,1
142,54,3,49,17,30,15,64,27,8,8,211,103,1,2,1.0,2
140,64,3,47,16,13,11,37,23,5,9,213,104,1,2,1.0,2
9,3,5,66,66,27,14,15,5,2,1,107,54,3,1,1.0,2
6,1,4,12,45,30,13,13,4,2,0,162,75,3,2,1.0,1
6,6,4,3,38,37,15,22,11,3,4,171,82,3,2,1.0,1
0,0,4,31,40,6,4,0,0,0,0,147,80,3,2,1.0,1
81,38,3,18,29,0,2,6,3,1,2,171,91,1,2,1.0,1
81,33,1,70,53,28,26,96,48,12,15,118,67,1,1,1.0,3
75,43,8,102,21,5,9,47,33,6,16,112,99,3,4,1.0,3
71,46,0,75,49,38,25,109,71,11,23,109,71,1,1,1.0,1
71,22,1,68,79,27,14,82,32,11,8,101,41,1,1,1.0,3
71,34,1,68,67,7,3,24,10,4,2,112,53,1,1,1.0,3
71,42,0,33,41,71,37,142,79,15,24,142,79,1,1,1.0,2
71,32,1,108,65,19,18,86,48,12,15,101,55,1,1,1.0,1
71,50,3,9,18,22,16,47,34,5,16,164,102,1,2,1.0,2
71,35,3,22,4,36,23,104,55,14,17,207,116,2,2,1.0,3
71,38,7,9,16,1,4,13,10,3,6,165,104,2,4,1.0,1
70,48,7,58,3,6,7,27,21,2,8,155,117,3,4,1.0,1
67,25,7,18,2,4,6,25,15,3,6,195,118,3,4,1.0,1
64,47,5,15,1,9,6,10,7,1,3,183,119,3,3,1.0,1
64,25,6,14,32,21,22,76,43,11,17,163,88,3,4,1.0,2
62,24,6,16,33,21,22,74,42,11,17,161,87,3,4,1.0,2
57,32,6,1,5,17,13,69,43,10,19,160,115,3,4,1.0,1
56,34,8,41,9,1,4,2,5,0,3,157,111,3,4,1.0,2
55,37,7,20,23,0,0,6,1,1,0,164,97,3,4,1.0,2
55,33,7,5,18,22,15,24,17,3,9,178,102,3,4,1.0,1
55,23,4,28,64,27,16,80,35,13,8,111,56,3,2,1.0,1
51,33,7,28,31,14,12,55,37,8,20,121,89,3,4,1.0,2
51,20,6,4,23,0,0,6,1,1,0,166,97,3,4,1.0,1
50,31,4,4,19,60,40,66,48,7,19,165,101,3,1,1.0,1
50,28,6,55,32,1,1,1,1,0,0,127,88,3,4,1.0,1
42,20,5,13,22,1,1,1,1,0,0,161,98,2,3,1.0,2
9,4,0,159,108,10,8,19,12,3,5,19,12,1,1,1.0,3
9,3,4,104,62,11,9,17,9,2,3,92,58,3,2,1.0,2
7,7,0,151,111,4,2,11,9,2,5,11,9,1,1,1.0,2
7,9,4,25,33,9,10,13,13,1,6,141,87,2,3,1.0,2
7,9,6,14,17,70,46,21,18,2,9,150,103,4,1,1.0,1
7,2,1,106,85,33,21,8,3,1,0,56,35,1,1,1.0,3
7,2,3,74,66,38,24,7,2,1,0,98,54,2,1,1.0,1
7,5,6,74,64,26,12,13,6,2,3,95,56,4,2,1.0,2
