Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,36-18,24-20,52-26,49-26,40-22,20-12,39-22,7-10,28-16,17-10,56-36,16-8,12-6,54-30,16-8,10-6,10-8,20-14,,,,,506-298
Player2,6-4,0-2,6-4,71-40,0-2,6-4,10-8,10-6,16-12,12-8,33-18,24-14,98-47,38-22,21-14,42-28,7-6,0-2,,,,,400-241
Player3,64-42,25-18,0-6,4-4,16-12,0-2,56-33,101-47,7-8,0-2,14-14,64-38,0-2,63-26,0-2,45-32,4-4,4-10,,,,,467-302
Player4,1-4,7-8,25-18,27-18,21-14,26-22,43-36,7-6,42-26,9-12,2-6,34-24,0-2,15-12,0-2,4-2,21-20,48-28,,,,,332-260
Player5,13-10,22-14,4-2,11-10,34-20,65-46,14-8,33-28,46-28,10-8,15-12,39-22,10-6,18-12,34-24,0-0,0-2,40-28,,,,,408-280
Player6,18-16,17-20,0-0,7-6,26-22,0-2,0-1,26-23,0-2,0-2,23-19,11-9,44-45,0-0,52-37,0-0,4-4,24-18,,,,,252-226
Player7,0-0,10-10,0-0,14-7,16-12,6-8,29-10,0-0,3-7,36-32,0-2,10-5,15-12,0-0,33-24,0-0,9-10,6-4,,,,,187-143
Player8,0-0,10-6,0-0,0-2,0-0,5-9,1-2,0-0,6-4,0-2,9-7,0-0,0-0,0-0,9-7,0-0,0-4,0-0,,,,,40-43
Player9,0-0,12-12,0-0,7-4,0-0,0-2,0-0,0-0,4-4,23-22,2-3,0-0,0-0,0-0,7-2,0-0,46-22,0-0,,,,,101-71
Player10,0-0,8-4,0-0,0-1,0-0,10-5,0-0,0-0,14-5,0-2,9-3,0-0,0-0,0-0,0-0,0-0,0-6,0-0,,,,,41-26
Player11,0-0,4-4,0-0,6-2,0-0,3-2,0-0,0-0,1-3,0-2,0-0,0-0,0-0,0-0,0-0,0-0,17-14,0-0,,,,,31-27
