Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,25-18,36-16,10-8,13-10,22-14,61-36,2-4,91-52,12-6,113-54,0-2,18-22,60-36,31-22,73-36,46-28,5-8,61-38,,,,,679-410
Player2,6-4,0-2,0-2,50-24,16-8,0-2,4-8,0-2,24-20,45-24,64-38,6-8,14-10,124-65,67-34,91-50,51-32,22-14,,,,,584-347
Player3,58-34,8-8,4-4,64-38,38-22,73-44,11-12,44-32,34-16,4-6,12-6,26-20,0-2,64-30,30-18,46-25,0-2,33-24,,,,,549-343
Player4,46-30,1-4,0-2,15-10,14-10,12-10,66-44,36-24,65-39,19-20,15-14,2-4,23-18,7-3,21-14,4-2,59-42,22-11,,,,,427-301
Player5,12-6,24-26,49-38,41-23,14-14,9-8,25-22,13-10,14-12,10-6,14-10,6-6,18-14,0-0,6-2,26-11,0-2,22-16,,,,,303-226
Player6,0-0,15-14,10-8,21-11,14-14,0-2,17-12,0-0,34-24,0-2,0-2,42-27,22-14,0-0,0-0,0-0,15-15,0-2,,,,,190-147
Player7,0-0,51-34,43-35,4-3,16-12,2-4,12-13,0-0,1-1,0-1,15-12,31-29,0-2,0-0,0-0,10-4,19-12,2-2,,,,,206-164
Player8,0-0,12-16,8-8,1-1,31-20,8-5,6-3,0-0,0-2,0-1,0-0,8-3,6-4,0-0,0-0,0-0,0-1,7-6,,,,,87-70
Player9,0-0,0-0,0-1,0-0,0-4,4-2,0-2,0-0,0-0,16-6,0-0,1-1,6-3,0-0,0-0,0-0,13-6,6-5,,,,,46-30
Player10,0-0,0-0,2-2,0-0,5-2,10-7,0-0,0-0,0-0,0-0,0-0,0-0,5-8,0-0,0-0,0-0,0-0,0-2,,,,,22-21
Player11,0-0,0-0,8-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,12-5,0-0,0-0,0-0,0-0,0-0,,,,,20-7
