Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,12-10,13-18,10-8,32-20,6-6,12-10,26-16,14-10,32-16,23-22,0-2,18-10,6-4,0-2,26-12,38-32,4-4,14-14,,,,,286-216
Player2,16-10,87-46,16-8,51-36,26-18,54-32,0-2,50-26,63-38,4-4,38-22,75-38,37-26,59-32,41-32,28-16,0-2,24-18,,,,,669-406
Player3,25-14,28-16,4-4,0-2,0-2,8-6,92-52,0-2,28-18,0-2,84-46,16-12,30-16,17-18,0-4,28-20,56-36,15-12,,,,,431-282
Player4,4-4,13-12,17-14,7-6,10-10,10-6,19-16,4-4,6-6,39-22,42-26,56-38,0-4,0-2,19-18,14-8,83-59,12-14,,,,,355-269
Player5,32-32,6-6,12-8,4-4,25-26,20-18,29-24,46-30,19-12,9-8,0-0,38-19,39-34,17-12,49-24,0-0,20-7,12-10,,,,,377-274
Player6,0-2,18-13,17-16,16-17,28-22,17-16,0-1,22-16,22-18,40-40,0-0,4-3,9-8,4-6,9-10,0-0,16-12,24-23,,,,,246-223
Player7,19-16,19-9,4-4,40-29,8-6,0-2,0-1,8-8,7-7,1-3,0-0,0-0,4-4,6-4,20-14,0-0,0-0,12-10,,,,,148-117
Player8,24-20,0-0,6-4,10-4,0-2,14-11,2-2,18-8,0-0,0-4,0-0,0-0,16-6,0-2,0-2,0-0,0-0,0-2,,,,,90-67
Player9,6-3,0-0,2-8,0-1,8-10,4-5,12-6,0-2,1-5,14-10,0-0,0-0,4-6,4-4,5-4,0-0,0-0,6-4,,,,,66-68
Player10,8-7,0-0,1-6,0-1,0-2,28-14,0-0,4-4,0-0,1-2,0-0,0-0,0-1,4-4,0-0,0-0,0-0,0-2,,,,,46-43
Player11,3-2,0-0,6-4,0-0,1-4,0-0,0-0,12-10,0-0,7-3,0-0,0-0,21-11,0-4,0-0,0-0,0-0,17-11,,,,,67-49
