Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,4-4,12-10,30-22,56-38,2-4,23-20,12-6,12-12,107-53,65-44,26-18,10-8,42-30,6-4,46-22,27-18,0-2,0-2,,,,,480-317
Player2,0-4,112-59,0-2,44-24,14-8,4-6,10-6,23-16,30-24,112-58,22-18,53-32,31-18,24-14,30-20,22-12,32-24,12-8,,,,,575-353
Player3,25-20,65-39,0-2,28-22,6-4,6-4,0-2,40-24,0-2,0-4,50-26,38-22,6-6,23-14,35-28,0-2,34-14,91-53,,,,,447-288
Player4,15-14,15-7,15-12,34-14,15-12,4-4,10-6,39-24,30-22,8-4,15-14,1-4,20-16,12-8,19-14,30-20,43-26,9-16,,,,,334-237
Player5,10-8,12-5,4-4,23-14,9-16,8-6,49-37,1-2,15-10,0-0,50-21,17-10,1-4,26-14,37-22,0-2,33-22,29-26,,,,,324-223
Player6,31-26,0-0,9-16,17-8,1-4,34-34,62-44,0-0,13-8,0-0,23-15,12-14,48-39,31-32,19-14,6-12,9-14,17-11,,,,,332-291
Player7,16-12,0-0,2-4,0-0,23-26,22-22,6-8,0-0,2-1,0-0,11-6,15-12,9-7,10-12,0-0,24-16,24-13,7-4,,,,,171-143
Player8,4-6,0-0,0-4,0-0,0-2,48-22,6-6,0-0,0-0,0-0,0-1,0-2,0-0,17-11,0-0,0-0,11-5,0-0,,,,,86-59
Player9,0-4,0-0,6-6,0-0,0-2,6-2,3-5,0-0,0-0,0-0,1-1,21-9,0-0,8-7,0-0,0-0,0-0,0-0,,,,,45-36
Player10,8-6,0-0,0-2,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,4-4,0-0,12-3,0-0,0-0,0-0,0-0,,,,,24-17
Player11,2-3,0-0,0-2,0-0,12-6,0-0,0-0,0-0,0-0,0-0,0-0,7-2,0-0,1-1,0-0,0-0,0-0,0-0,,,,,22-14
