Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,20-12,4-4,19-18,56-26,8-6,0-2,6-4,18-18,32-16,55-32,53-40,56-26,8-8,54-34,10-8,16-10,37-18,24-18,,,,,476-300
Player2,16-12,6-4,0-2,63-42,57-36,49-24,0-2,10-6,72-44,0-4,33-24,24-22,2-4,6-8,19-16,26-16,41-26,33-22,,,,,457-314
Player3,32-18,12-10,10-10,41-24,0-2,120-51,75-44,0-2,9-8,39-26,58-28,10-6,0-2,39-26,15-12,0-2,41-20,6-6,,,,,507-297
Player4,4-8,4-4,65-40,33-17,2-4,1-4,0-2,20-20,12-8,5-8,4-4,5-10,26-18,6-6,44-29,23-18,0-2,45-29,,,,,299-231
Player5,46-28,0-2,36-22,28-11,16-14,59-38,9-8,35-26,46-25,12-10,14-7,31-16,39-30,13-12,47-30,27-24,58-29,38-28,,,,,554-360
Player6,35-30,17-14,10-12,0-0,0-2,3-1,15-12,4-4,8-10,0-0,12-7,6-8,2-4,11-12,24-18,24-22,31-21,12-8,,,,,214-185
Player7,12-9,4-4,0-2,0-0,0-2,0-0,35-24,15-20,6-4,0-0,0-1,0-2,1-8,0-2,11-7,5-8,2-4,8-6,,,,,99-103
Player8,0-1,26-20,0-2,0-0,2-4,0-0,4-4,2-4,7-3,0-0,0-3,11-6,4-4,15-9,0-0,17-13,0-0,0-2,,,,,88-75
Player9,4-2,1-6,10-4,0-0,11-10,0-0,6-3,10-4,1-1,0-0,2-2,0-2,3-6,0-1,0-0,0-2,0-0,2-1,,,,,50-44
Player10,0-0,0-2,1-3,0-0,8-8,0-0,0-2,0-2,1-1,0-0,4-2,0-0,0-2,23-10,0-0,0-1,0-0,0-0,,,,,37-33
Player11,0-0,0-2,0-1,0-0,0-2,0-0,0-0,0-1,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,,,,,2-9
