Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,12-6,18-10,4-4,101-55,0-4,44-22,30-16,20-12,14-8,14-10,26-14,4-4,21-14,4-4,0-2,0-2,10-14,22-18,,,,,344-219
Player2,0-2,10-12,6-6,29-22,18-14,20-10,6-4,0-2,25-20,18-12,14-10,34-22,97-51,0-2,9-8,10-6,38-22,11-10,,,,,345-235
Player3,40-22,6-4,0-2,0-4,34-18,26-20,26-14,5-8,0-2,44-28,6-4,0-2,30-18,40-20,52-30,30-14,8-6,2-4,,,,,349-220
Player4,0-2,24-12,17-14,4-4,10-10,68-40,32-30,32-22,29-22,1-4,23-14,16-10,4-4,11-8,60-39,52-34,32-26,5-8,,,,,420-303
Player5,4-4,67-43,64-50,6-6,62-45,8-8,2-4,18-14,13-12,21-16,48-35,21-20,57-33,58-40,4-6,4-6,12-16,10-10,,,,,479-368
Player6,18-14,13-12,11-8,38-25,54-29,17-20,50-41,0-0,25-20,9-14,11-10,18-16,0-0,33-26,6-8,34-30,10-10,0-2,,,,,347-285
Player7,36-32,5-10,16-18,3-2,0-0,0-0,21-11,0-0,21-24,9-8,0-4,14-13,0-0,1-4,0-2,31-20,9-11,0-4,,,,,166-163
Player8,1-10,8-4,37-14,0-1,0-0,0-0,0-0,0-0,0-1,4-7,41-22,40-24,0-0,24-10,6-4,14-8,12-6,5-8,,,,,192-119
Player9,0-2,4-3,13-4,4-1,0-0,0-0,0-0,0-0,0-1,17-13,12-4,0-2,0-0,0-0,20-12,0-0,12-9,2-6,,,,,84-57
Player10,17-15,0-2,0-0,0-0,0-0,0-0,0-0,0-0,4-3,0-2,4-3,3-3,0-0,0-0,10-4,0-0,0-0,0-6,,,,,38-38
Player11,18-8,0-2,0-0,0-0,0-0,0-0,0-0,0-0,4-4,0-3,0-0,9-4,0-0,0-0,8-3,0-0,0-0,2-4,,,,,41-28
