Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,16-16,21-16,0-2,86-40,4-4,142-64,16-10,104-57,5-6,6-4,4-6,16-12,16-8,4-4,64-30,64-36,4-4,6-4,,,,,578-323
Player2,27-22,36-20,40-28,34-20,54-28,66-36,4-4,26-16,0-2,0-4,18-12,0-4,33-18,55-36,0-2,36-22,40-20,4-4,,,,,473-298
Player3,13-10,16-10,54-28,39-26,22-16,37-20,71-40,27-14,0-2,44-34,28-16,26-20,9-8,37-22,28-20,16-12,50-34,46-24,,,,,563-356
Player4,58-34,16-14,61-27,31-23,21-12,0-0,65-40,40-28,14-18,91-52,9-10,34-28,31-24,8-8,10-12,36-16,68-37,104-59,,,,,697-442
Player5,5-6,60-38,24-22,0-2,6-2,0-0,0-2,11-5,0-2,20-14,40-26,63-31,36-23,4-8,41-28,29-19,8-6,29-19,,,,,376-253
Player6,29-22,4-6,11-11,6-4,0-0,0-0,2-2,0-0,4-4,0-2,8-10,34-21,29-35,4-4,19-18,2-7,10-12,0-1,,,,,162-159
Player7,22-10,9-8,7-2,6-5,0-0,0-0,0-0,0-0,15-18,2-4,27-20,14-4,0-0,2-4,9-8,6-4,7-4,26-9,,,,,152-100
Player8,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-2,4-5,0-2,0-0,0-3,0-4,6-2,0-1,0-1,0-0,,,,,10-22
Player9,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,9-18,0-1,0-2,0-0,2-1,7-5,0-0,13-3,8-2,0-0,,,,,39-34
Player10,0-0,4-2,0-0,0-0,0-0,0-0,0-0,0-0,4-8,0-0,1-2,0-0,0-0,20-11,0-0,0-0,0-0,0-0,,,,,29-23
Player11,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-0,6-2,0-0,9-2,0-0,0-0,9-8,0-0,0-0,0-0,0-0,,,,,26-14
