Name,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,,match20,match21,Final
Player1,30-14,55-28,32-20,12-6,32-18,24-14,26-14,1-4,28-16,24-12,55-30,97-57,0-2,115-62,18-16,47-30,85-49,0-2,,,,,681-394
Player2,82-38,26-16,19-22,36-18,63-36,51-30,18-12,3-8,18-14,92-46,0-2,8-8,0-2,94-50,4-4,6-4,4-4,60-30,,,,,584-344
Player3,4-6,0-2,30-20,10-10,8-6,22-18,32-20,4-4,22-12,4-4,34-24,0-4,0-2,18-8,0-2,20-14,12-8,0-2,,,,,220-166
Player4,35-22,2-4,51-28,23-18,0-2,4-6,1-4,22-16,4-6,18-18,9-6,25-20,20-14,0-0,17-16,19-10,65-42,46-34,,,,,361-266
Player5,12-14,13-10,14-12,29-18,48-28,29-16,0-2,23-16,42-26,0-2,63-32,37-23,35-20,0-0,6-8,0-0,0-2,17-14,,,,,368-243
Player6,7-6,36-35,4-4,13-10,5-8,0-2,14-12,5-6,6-8,5-6,34-26,4-2,26-22,0-0,14-18,0-0,0-1,0-2,,,,,173-168
Player7,0-0,21-17,12-6,41-24,14-12,12-12,1-6,18-20,15-22,0-0,0-0,0-0,18-22,0-0,3-6,0-0,11-7,14-12,,,,,180-166
Player8,0-0,0-1,0-0,12-6,30-10,13-9,9-10,8-6,12-8,0-0,0-0,0-0,0-2,0-0,0-2,0-0,6-6,10-8,,,,,100-68
Player9,0-0,28-7,0-0,14-8,0-0,4-1,0-4,19-16,4-2,0-0,0-0,0-0,4-6,0-0,4-4,0-0,1-1,2-3,,,,,80-52
Player10,0-0,0-0,0-0,3-2,0-0,0-0,15-14,4-6,0-1,0-0,0-0,0-0,0-0,0-0,6-6,0-0,0-0,0-1,,,,,28-30
Player11,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-1,1-5,0-0,0-0,0-0,3-8,0-0,0-0,0-0,0-0,5-4,,,,,9-20
